constructorResultsId,raceId,constructorId,points,status
15084,933,131,43.0,\N
15085,933,3,25.0,\N
15086,933,6,12.0,\N
15087,933,10,10.0,\N
15088,933,208,6.0,\N
15089,933,5,4.0,\N
15090,933,9,1.0,\N
15091,933,15,0.0,\N
15092,933,209,0.0,\N
15093,933,1,0.0,\N
15094,934,131,43.0,\N
15095,934,6,19.0,\N
15096,934,3,22.0,\N
15097,934,9,8.0,\N
15098,934,10,8.0,\N
15099,934,1,1.0,\N
15100,934,15,0.0,\N
15101,934,209,0.0,\N
15102,934,5,0.0,\N
15103,934,208,0.0,\N
15104,936,6,25.0,\N
15105,936,9,33.0,\N
15106,936,5,12.0,\N
15107,936,1,12.0,\N
15108,936,131,12.0,\N
15109,936,208,6.0,\N
15110,936,15,1.0,\N
15111,936,3,0.0,\N
15112,936,209,0.0,\N
15113,936,10,0.0,\N
15114,937,131,43.0,\N
15115,937,208,15.0,\N
15116,937,9,12.0,\N
15117,937,10,10.0,\N
15118,937,3,10.0,\N
15119,937,6,6.0,\N
15120,937,5,4.0,\N
15121,937,15,1.0,\N
15122,937,1,0.0,\N
15123,937,206,0.0,\N
15124,937,209,0.0,\N
15125,938,131,25.0,\N
15126,938,6,28.0,\N
15127,938,3,27.0,\N
15128,938,10,14.0,\N
15129,938,9,5.0,\N
15130,938,15,2.0,\N
15131,938,5,0.0,\N
15132,938,1,0.0,\N
15133,938,209,0.0,\N
15134,938,208,0.0,\N
15135,939,6,40.0,\N
15136,939,9,26.0,\N
15137,939,131,12.0,\N
15138,939,3,10.0,\N
15139,939,10,6.0,\N
15140,939,5,6.0,\N
15141,939,15,1.0,\N
15142,939,208,0.0,\N
15143,939,209,0.0,\N
15144,939,1,0.0,\N
15145,940,131,43.0,\N
15146,940,6,27.0,\N
15147,940,3,10.0,\N
15148,940,10,8.0,\N
15149,940,208,10.0,\N
15150,940,5,3.0,\N
15151,940,1,0.0,\N
15152,940,9,0.0,\N
15153,940,15,0.0,\N
15154,940,209,0.0,\N
15155,941,131,25.0,\N
15156,941,6,22.0,\N
15157,941,10,15.0,\N
15158,941,3,12.0,\N
15159,941,9,10.0,\N
15160,941,15,8.0,\N
15161,941,208,6.0,\N
15162,941,1,2.0,\N
15163,941,5,1.0,\N
15164,941,209,0.0,\N
15165,941,206,0.0,\N
15166,942,131,43.0,\N
15167,942,6,15.0,\N
15168,942,5,18.0,\N
15169,942,10,10.0,\N
15170,942,1,8.0,\N
15171,942,208,4.0,\N
15172,942,15,2.0,\N
15173,942,9,1.0,\N
15174,942,209,0.0,\N
15175,942,3,0.0,\N
15176,943,131,43.0,\N
15177,943,3,23.0,\N
15178,943,9,22.0,\N
15179,943,10,10.0,\N
15180,943,5,2.0,\N
15181,943,208,1.0,\N
15182,943,15,0.0,\N
15183,943,1,0.0,\N
15184,943,206,0.0,\N
15185,943,6,0.0,\N
15186,944,131,43.0,\N
15187,944,6,27.0,\N
15188,944,3,10.0,\N
15189,944,10,8.0,\N
15190,944,9,6.0,\N
15191,944,208,5.0,\N
15192,944,5,2.0,\N
15193,944,15,0.0,\N
15194,944,1,0.0,\N
15195,944,209,0.0,\N
15196,943,209,0.0,\N
15197,945,131,43.0,\N
15198,945,6,27.0,\N
15199,945,10,16.0,\N
15200,945,9,9.0,\N
15201,945,3,4.0,\N
15202,945,208,2.0,\N
15203,945,5,0.0,\N
15204,945,1,0.0,\N
15205,945,15,0.0,\N
15206,945,206,0.0,\N
15207,945,209,0.0,\N
15208,948,131,43.0,\N
15209,948,6,15.0,\N
15210,948,9,12.0,\N
15211,948,3,14.0,\N
15212,948,210,8.0,\N
15213,948,10,6.0,\N
15214,948,5,3.0,\N
15215,948,4,0.0,\N
15216,948,1,0.0,\N
15217,948,15,0.0,\N
15218,948,209,0.0,\N
15219,949,131,40.0,\N
15220,949,6,18.0,\N
15221,949,9,18.0,\N
15222,949,210,10.0,\N
15223,949,5,8.0,\N
15224,949,3,6.0,\N
15225,949,1,1.0,\N
15226,949,4,0.0,\N
15227,949,15,0.0,\N
15228,949,209,0.0,\N
15229,949,10,0.0,\N
15230,950,131,31.0,\N
15231,950,6,28.0,\N
15232,950,9,27.0,\N
15233,950,3,9.0,\N
15234,950,5,6.0,\N
15235,950,10,0.0,\N
15236,950,1,0.0,\N
15237,950,210,0.0,\N
15238,950,15,0.0,\N
15239,950,4,0.0,\N
15240,950,209,0.0,\N
15241,951,131,43.0,\N
15242,951,6,15.0,\N
15243,951,3,22.0,\N
15244,951,1,9.0,\N
15245,951,4,6.0,\N
15246,951,210,4.0,\N
15247,951,10,2.0,\N
15248,951,9,0.0,\N
15249,951,5,0.0,\N
15250,951,15,0.0,\N
15251,951,209,0.0,\N
15252,952,9,37.0,\N
15253,952,6,33.0,\N
15254,952,3,14.0,\N
15255,952,5,9.0,\N
15256,952,10,6.0,\N
15257,952,1,2.0,\N
15258,952,210,0.0,\N
15259,952,15,0.0,\N
15260,952,4,0.0,\N
15261,952,209,0.0,\N
15262,952,131,0.0,\N
15263,953,131,31.0,\N
15264,953,9,18.0,\N
15265,953,10,23.0,\N
15266,953,6,12.0,\N
15267,953,1,12.0,\N
15268,953,5,4.0,\N
15269,953,3,1.0,\N
15270,953,210,0.0,\N
15271,953,209,0.0,\N
15272,953,15,0.0,\N
15273,953,4,0.0,\N
15274,954,131,35.0,\N
15275,954,6,26.0,\N
15276,954,3,15.0,\N
15277,954,9,18.0,\N
15278,954,10,5.0,\N
15279,954,5,2.0,\N
15280,954,1,0.0,\N
15281,954,210,0.0,\N
15282,954,15,0.0,\N
15283,954,4,0.0,\N
15284,954,209,0.0,\N
15285,955,131,35.0,\N
15286,955,6,30.0,\N
15287,955,10,17.0,\N
15288,955,3,9.0,\N
15289,955,9,10.0,\N
15290,955,1,0.0,\N
15291,955,15,0.0,\N
15292,955,210,0.0,\N
15293,955,4,0.0,\N
15294,955,209,0.0,\N
15295,955,5,0.0,\N
15296,956,131,37.0,\N
15297,956,9,28.0,\N
15298,956,6,15.0,\N
15299,956,1,8.0,\N
15300,956,210,6.0,\N
15301,956,5,4.0,\N
15302,956,3,2.0,\N
15303,956,209,1.0,\N
15304,956,4,0.0,\N
15305,956,15,0.0,\N
15306,956,10,0.0,\N
15307,957,131,40.0,\N
15308,957,9,30.0,\N
15309,957,6,12.0,\N
15310,957,10,14.0,\N
15311,957,5,5.0,\N
15312,957,3,0.0,\N
15313,957,1,0.0,\N
15314,957,15,0.0,\N
15315,957,210,0.0,\N
15316,957,4,0.0,\N
15317,957,209,0.0,\N
15318,958,131,43.0,\N
15319,958,9,25.0,\N
15320,958,6,20.0,\N
15321,958,1,6.0,\N
15322,958,5,4.0,\N
15323,958,3,2.0,\N
15324,958,10,1.0,\N
15325,958,4,0.0,\N
15326,958,210,0.0,\N
15327,958,15,0.0,\N
15328,958,209,0.0,\N
15329,959,131,37.0,\N
15330,959,9,33.0,\N
15331,959,6,18.0,\N
15332,959,10,7.0,\N
15333,959,1,4.0,\N
15334,959,3,2.0,\N
15335,959,210,0.0,\N
15336,959,5,0.0,\N
15337,959,4,0.0,\N
15338,959,209,0.0,\N
15339,959,15,0.0,\N
15340,960,131,40.0,\N
15341,960,9,18.0,\N
15342,960,10,22.0,\N
15343,960,6,10.0,\N
15344,960,1,6.0,\N
15345,960,3,5.0,\N
15346,960,210,0.0,\N
15347,960,5,0.0,\N
15348,960,4,0.0,\N
