weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
256,UK,Silverstone,2009-06-21,12:00:00,17.3,10.9,14.1,17.3,10.9,14.1,9.9,76.7,0.148,100.0,4.17,rain,,,,14.5,307.3,,59.2,26.0,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
257,UK,Silverstone,2010-07-11,12:00:00,23.1,16.2,19.3,23.1,16.2,19.3,10.9,61.4,0.026,100.0,4.17,rain,,0.0,,22.4,245.1,1013.9,50.0,37.0,324.0,28.0,9.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
258,UK,Silverstone,2011-07-10,12:00:00,20.7,10.6,15.7,20.7,10.6,15.7,11.1,76.5,0.342,100.0,12.5,rain,,,,15.7,264.6,1017.3,52.2,20.9,237.4,20.5,7.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
297,Germany,Hockenheim,2001-07-29,\N,29.1,17.1,23.3,30.4,17.1,23.5,16.7,69.4,0.0,0.0,0.0,,0.0,0.0,,12.9,358.0,1021.6,66.8,14.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"107,340,999,991,061,000,000,000,000,000,000"
298,Germany,Hockenheim,2002-07-28,\N,29.6,14.1,22.6,28.8,14.1,22.4,14.2,63.6,0.0,0.0,0.0,,0.0,0.0,,22.3,56.7,1018.7,10.9,10.3,,,,,Clear,Clear conditions throughout the day.,clear-day,"107,340,999,991,061,000,000,000,000,000,000"
299,Germany,Hockenheim,2003-08-03,\N,35.5,17.1,26.4,35.4,17.1,26.5,16.8,60.7,0.0,0.0,0.0,,0.0,0.0,,7.6,46.8,1020.4,35.2,10.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,061,409,999,910,720,000,000"
300,Germany,Hockenheim,2004-07-25,\N,25.6,10.1,18.3,25.6,10.1,18.3,10.0,62.6,0.0,0.0,0.0,,0.0,0.0,,24.1,264.5,1019.7,65.7,10.6,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,061,409,999,910,720,000,000"
301,Germany,Hockenheim,2005-07-24,14:00:00,22.1,15.1,18.6,22.1,15.1,18.6,12.9,70.5,3.0,100.0,8.33,rain,0.0,0.0,,16.6,211.4,1009.6,94.1,10.5,,,,,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,10614099999
302,Germany,Hockenheim,2006-07-30,14:00:00,30.1,14.1,21.4,29.5,14.1,21.3,16.0,76.0,1.5,100.0,4.17,rain,0.0,0.0,38.9,22.3,217.3,1013.6,78.8,10.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,10614099999
303,Germany,Hockenheim,2008-07-20,12:00:00,22.1,9.1,15.7,22.1,9.1,15.7,9.9,71.5,0.0,0.0,0.0,,0.0,0.0,,25.9,277.6,1014.6,28.8,11.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,10614099999
304,Germany,Hockenheim,2010-07-25,12:00:00,21.1,5.1,14.4,21.1,5.1,14.3,10.3,78.8,0.0,0.0,0.0,,0.0,0.0,,18.4,244.7,1017.9,43.3,11.0,284.9,24.7,9.0,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10614099999,remote"
325,Hungary,Budapest,2001-08-19,\N,32.0,18.1,25.2,32.6,18.1,25.5,17.5,65.6,0.0,0.0,0.0,,0.0,0.0,,14.1,102.9,1012.6,31.9,15.4,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12,843,099,999,127,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
326,Hungary,Budapest,2002-08-18,\N,29.2,17.7,23.6,28.5,17.7,23.6,15.3,62.1,0.0,0.0,0.0,,0.0,0.0,,14.7,54.1,1014.4,20.6,24.5,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12,843,099,999,128,400,000,000,000,000,000,000,000,000,000"
327,Hungary,Budapest,2003-08-24,\N,28.9,18.1,23.8,27.9,18.1,23.6,11.2,47.0,0.0,0.0,0.0,,0.0,0.0,,24.0,308.1,1013.0,8.9,38.0,,,,,Clear,Clear conditions throughout the day.,clear-day,"1,284,709,999,912,840,000,000,000,000,000,000,000,000,000,000,000,000,000"
328,Hungary,Budapest,2004-08-15,\N,24.1,13.2,18.8,24.1,13.2,18.8,12.9,70.1,0.018,100.0,4.17,rain,0.0,0.0,,22.7,315.5,1015.7,24.9,16.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"1,284,709,999,912,840,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
329,Hungary,Budapest,2005-07-31,14:00:00,33.7,21.7,26.7,35.5,21.7,27.5,18.6,62.2,0.0,0.0,0.0,,0.0,0.0,,20.3,346.1,1009.9,43.8,23.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,284,709,999,912,840,000,000,000,000,000,000,000,000,000,000,000,000,000"
330,Hungary,Budapest,2006-08-06,14:00:00,21.1,12.6,16.5,21.1,12.6,16.5,13.8,84.7,1.898,100.0,12.5,rain,0.0,0.0,,18.5,234.6,1009.2,81.4,23.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12,847,099,999,128,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
331,Hungary,Budapest,2007-08-05,12:00:00,27.6,15.4,21.4,27.2,15.4,21.4,11.0,53.1,0.0,0.0,0.0,,0.0,0.0,,17.1,32.9,1017.2,56.4,32.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1,284,709,999,912,840,000,000,000,000,000,000,000,000,000,000,000,000,000"
332,Hungary,Budapest,2008-08-03,12:00:00,29.2,20.3,24.7,29.1,20.3,24.7,16.8,63.7,0.267,100.0,4.17,rain,0.0,0.0,,15.3,303.2,1015.7,42.8,28.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"1,284,709,999,912,840,000,000,000,000,000,000,000,000,000,000,000,000,000"
