raceId,driverId,lap,position,time,milliseconds
1051,847,13,13,1:31.283,91283
1051,847,14,14,1:32.318,92318
1051,847,15,13,1:31.880,91880
1051,847,16,13,1:31.310,91310
1051,847,17,20,1:52.485,112485
1051,847,18,20,1:34.945,94945
1051,847,19,19,1:29.451,89451
1051,847,20,19,1:29.385,89385
1051,847,21,19,1:29.699,89699
1051,847,22,18,1:29.504,89504
1051,847,23,18,1:29.656,89656
1051,847,24,18,1:29.693,89693
1051,847,25,18,1:29.265,89265
1051,847,26,18,1:29.731,89731
1051,847,27,17,1:30.303,90303
1051,847,28,17,1:29.800,89800
1051,847,29,17,1:28.927,88927
1051,847,30,16,1:31.190,91190
1051,847,31,16,1:29.857,89857
1051,847,32,15,1:29.216,89216
1051,847,33,15,1:29.170,89170
1051,847,34,15,1:31.325,91325
1051,847,35,14,1:29.630,89630
1051,847,36,14,1:29.249,89249
1051,847,37,14,1:29.321,89321
1051,847,38,14,1:28.952,88952
1051,847,39,14,1:28.895,88895
1051,847,40,14,1:28.958,88958
1051,847,41,14,1:28.932,88932
1051,847,42,14,1:28.798,88798
1051,847,43,14,1:28.577,88577
1051,847,44,15,1:30.288,90288
1051,847,45,15,1:29.337,89337
1051,847,46,15,1:28.623,88623
1051,847,47,15,1:28.447,88447
1051,847,48,15,1:28.828,88828
1051,847,49,18,2:27.675,147675
1051,847,50,18,1:33.925,93925
1051,847,51,17,1:26.409,86409
1051,847,52,17,1:27.912,87912
1051,847,53,17,1:44.770,104770
1051,847,54,17,1:46.995,106995
1051,847,55,17,1:25.768,85768
1051,817,1,16,1:44.471,104471
1051,817,2,16,1:33.120,93120
1051,817,3,16,1:31.801,91801
1051,817,4,16,1:31.518,91518
1051,817,5,16,1:31.405,91405
1051,817,6,16,1:32.037,92037
1051,817,7,15,1:30.997,90997
1051,817,8,14,1:30.846,90846
1051,817,9,13,1:31.909,91909
